Age,Gender,Total_Spent,Quantity,Channel,Category,Cluster,Avg_Price,Loyal_Customer
54,Male,716.91,1,In-Store,Clothing,0,716.91,1
23,Male,122.2,4,Mobile App,Accessories,2,30.55,0
43,Male,836.7,2,Mobile App,Accessories,0,418.35,1
46,Male,358.43,1,In-Store,Media,4,358.43,0
40,Female,344.04,1,Mobile App,Accessories,4,344.04,0
31,Male,90.72,2,Phone,Media,1,45.36,0
42,Male,108.04,3,In-Store,Footwear,2,36.013333333333335,0
28,Female,456.37,3,In-Store,Beauty,2,152.12333333333333,0
40,Female,102.22,1,Mobile App,Footwear,4,102.22,0
18,Female,769.96,4,Online,Accessories,2,192.49,1
47,Male,495.81,2,In-Store,Accessories,4,247.905,0
22,Male,421.95,2,Phone,Accessories,1,210.975,0
30,Female,171.76,2,Mobile App,Electronics,1,85.88,0
23,Male,516.6,1,Mobile App,Electronics,1,516.6,0
33,Male,490.84,4,Phone,Electronics,2,122.71,0
31,Female,364.53,1,Mobile App,Accessories,1,364.53,0
34,Male,218.74,1,Mobile App,Outerwear,1,218.74,0
52,Male,833.9,3,Phone,Accessories,4,277.96666666666664,1
49,Female,525.48,2,Mobile App,Accessories,4,262.74,0
34,Male,1002.46,3,Online,Beauty,2,334.15333333333336,1
32,Female,1113.32,2,In-Store,Electronics,0,556.66,1
25,Female,349.7,1,Online,Clothing,1,349.7,0
31,Female,820.59,4,Mobile App,Accessories,2,205.1475,1
27,Female,436.83,1,Mobile App,Accessories,1,436.83,0
31,Male,50.0,3,Mobile App,Media,2,16.666666666666668,0
42,Male,140.79,1,Online,Accessories,4,140.79,0
18,Female,226.59,3,Mobile App,Accessories,2,75.53,0
18,Male,695.36,1,Phone,Accessories,0,695.36,1
46,Male,727.13,2,In-Store,Accessories,4,363.565,1
21,Female,494.23,3,Phone,Accessories,2,164.74333333333334,0
53,Female,772.75,1,In-Store,Electronics,0,772.75,1
52,Female,917.42,2,Phone,Clothing,0,458.71,1
42,Female,573.72,3,Online,Accessories,2,191.24,1
24,Male,181.8,2,Phone,Electronics,1,90.9,0
41,Female,559.32,4,Phone,Electronics,2,139.83,1
40,Male,728.89,1,In-Store,Footwear,0,728.89,1
52,Male,576.11,1,Phone,Clothing,4,576.11,0
46,Male,360.19,1,Mobile App,Electronics,4,360.19,0
20,Female,167.66,1,In-Store,Accessories,1,167.66,0
27,Male,170.06,1,In-Store,Beauty,1,170.06,0
26,Male,340.41,2,Online,Media,1,170.205,0
45,Female,617.02,1,Online,Media,0,617.02,0
29,Female,527.59,1,Phone,Electronics,0,527.59,0
47,Male,828.7,1,Mobile App,Clothing,0,828.7,1
21,Male,404.09,3,In-Store,Footwear,2,134.69666666666666,0
41,Female,230.39,2,In-Store,Electronics,4,115.195,0
27,Female,513.44,1,Mobile App,Clothing,1,513.44,0
18,Male,795.56,3,Mobile App,Accessories,2,265.18666666666667,1
41,Male,246.32,1,In-Store,Outerwear,4,246.32,0
41,Male,190.98,5,Online,Beauty,2,38.196,0
52,Male,536.01,2,In-Store,Clothing,4,268.005,0
18,Male,96.87,1,In-Store,Accessories,1,96.87,0
48,Male,382.44,2,Online,Electronics,4,191.22,0
43,Male,302.49,3,In-Store,Accessories,2,100.83,0
42,Male,829.37,1,Mobile App,Electronics,0,829.37,1
42,Male,356.96,3,In-Store,Electronics,2,118.98666666666666,0
28,Female,331.87,1,Mobile App,Clothing,1,331.87,0
33,Female,65.0,1,Online,Accessories,1,65.0,0
42,Male,660.71,1,In-Store,Accessories,0,660.71,1
50,Female,951.28,1,Mobile App,Accessories,0,951.28,1
59,Male,679.23,1,In-Store,Clothing,0,679.23,1
47,Female,1310.39,4,Online,Electronics,2,327.5975,1
29,Female,555.01,1,Phone,Outerwear,0,555.01,0
18,Male,269.03,1,Phone,Electronics,1,269.03,0
41,Male,679.51,2,Mobile App,Bags,0,339.755,1
45,Female,497.08,3,Phone,Beauty,2,165.69333333333333,0
27,Male,154.73,5,In-Store,Accessories,2,30.945999999999998,0
52,Female,553.05,3,Mobile App,Electronics,4,184.35,1
19,Male,610.56,5,Phone,Footwear,2,122.112,1
51,Male,567.39,3,Online,Footwear,4,189.13,1
22,Female,489.32,4,In-Store,Clothing,2,122.33,0
24,Male,759.7,2,Mobile App,Clothing,1,379.85,1
40,Female,1356.47,1,Phone,Outerwear,3,1356.47,1
45,Male,166.91,1,Phone,Outerwear,4,166.91,0
71,Female,574.43,2,In-Store,Footwear,4,287.215,0
21,Female,454.05,1,Online,Electronics,1,454.05,0
44,Male,307.36,1,Phone,Bags,4,307.36,0
33,Male,228.23,2,Phone,Accessories,1,114.115,0
33,Female,132.55,4,In-Store,Media,2,33.1375,0
42,Female,355.37,1,Mobile App,Accessories,4,355.37,0
37,Male,275.78,3,Mobile App,Accessories,2,91.92666666666666,0
38,Male,763.63,2,Phone,Footwear,0,381.815,1
49,Female,420.44,4,Online,Accessories,2,105.11,0
28,Male,354.6,4,Phone,Footwear,2,88.65,0
39,Female,478.73,3,Online,Beauty,2,159.57666666666668,0
32,Female,216.58,2,Phone,Accessories,1,108.29,0
27,Female,228.03,1,In-Store,Clothing,1,228.03,0
29,Male,306.62,2,Phone,Accessories,1,153.31,0
18,Female,220.06,3,In-Store,Accessories,2,73.35333333333334,0
20,Female,151.37,3,In-Store,Bags,2,50.45666666666667,0
30,Male,256.48,3,In-Store,Footwear,2,85.49333333333334,0
29,Female,379.34,1,Mobile App,Media,1,379.34,0
30,Male,481.24,2,In-Store,Electronics,1,240.62,0
34,Male,199.03,1,Mobile App,Electronics,1,199.03,0
51,Female,585.98,1,Mobile App,Bags,0,585.98,0
37,Male,2296.67,1,Mobile App,Beauty,3,2296.67,1
18,Female,653.43,1,Mobile App,Accessories,0,653.43,1
34,Female,208.2,3,Phone,Electronics,2,69.39999999999999,0
20,Male,50.0,1,Mobile App,Electronics,1,50.0,0
56,Female,954.01,1,Mobile App,Footwear,0,954.01,1
30,Male,755.51,4,In-Store,Beauty,2,188.8775,1
31,Male,815.61,1,Mobile App,Beauty,0,815.61,1
55,Male,446.06,1,Mobile App,Electronics,4,446.06,0
49,Female,484.49,1,Online,Electronics,4,484.49,0
31,Female,717.56,1,Phone,Electronics,0,717.56,1
53,Female,345.94,1,Mobile App,Accessories,4,345.94,0
38,Female,148.98,1,Phone,Clothing,4,148.98,0
61,Male,492.48,2,In-Store,Outerwear,4,246.24,0
18,Female,601.56,1,Mobile App,Clothing,1,601.56,0
37,Female,169.04,1,Online,Accessories,4,169.04,0
24,Female,223.78,3,Online,Accessories,2,74.59333333333333,0
28,Female,600.22,1,Online,Clothing,0,600.22,0
35,Female,561.22,4,Online,Footwear,2,140.305,1
49,Female,308.93,1,Mobile App,Footwear,4,308.93,0
36,Female,182.21,1,Online,Electronics,4,182.21,0
28,Female,497.82,3,Online,Media,2,165.94,0
26,Male,233.08,1,In-Store,Accessories,1,233.08,0
24,Male,191.11,1,Online,Beauty,1,191.11,0
38,Male,573.91,2,Mobile App,Accessories,4,286.955,0
27,Male,547.69,1,Online,Beauty,0,547.69,0
26,Female,310.0,3,Online,Accessories,2,103.33333333333333,0
23,Male,193.19,4,Phone,Electronics,2,48.2975,0
34,Male,721.83,1,Phone,Accessories,0,721.83,1
27,Female,454.75,2,In-Store,Electronics,1,227.375,0
58,Male,366.16,2,Online,Bags,4,183.08,0
51,Male,296.78,5,In-Store,Accessories,2,59.355999999999995,0
21,Female,648.06,3,Mobile App,Electronics,2,216.01999999999998,1
37,Male,215.86,4,Phone,Electronics,2,53.965,0
35,Male,1347.3,1,Mobile App,Electronics,3,1347.3,1
34,Male,317.22,3,Mobile App,Clothing,2,105.74000000000001,0
37,Female,195.19,1,Online,Bags,4,195.19,0
30,Female,143.45,1,Phone,Outerwear,1,143.45,0
52,Male,306.0,4,Phone,Clothing,2,76.5,0
26,Female,697.19,1,In-Store,Clothing,0,697.19,1
43,Male,422.59,4,Phone,Outerwear,2,105.6475,0
36,Female,1011.25,1,In-Store,Electronics,0,1011.25,1
26,Male,109.98,3,In-Store,Footwear,2,36.660000000000004,0
36,Female,497.2,1,Mobile App,Accessories,0,497.2,0
43,Male,122.41,1,Online,Accessories,4,122.41,0
45,Male,263.49,1,In-Store,Electronics,4,263.49,0
38,Female,561.98,2,Mobile App,Bags,4,280.99,0
45,Male,144.12,1,In-Store,Electronics,4,144.12,0
19,Female,58.43,2,Mobile App,Accessories,1,29.215,0
30,Female,238.99,1,Online,Electronics,1,238.99,0
21,Female,503.76,1,Online,Accessories,1,503.76,0
21,Male,345.17,1,In-Store,Accessories,1,345.17,0
40,Female,406.99,1,Mobile App,Electronics,4,406.99,0
18,Male,638.11,3,Mobile App,Electronics,2,212.70333333333335,1
44,Male,219.87,3,Online,Electronics,2,73.29,0
55,Female,411.55,1,Phone,Electronics,4,411.55,0
42,Female,183.06,2,Phone,Electronics,4,91.53,0
27,Female,197.81,3,Mobile App,Electronics,2,65.93666666666667,0
18,Male,411.03,1,In-Store,Electronics,1,411.03,0
28,Female,373.12,1,Online,Electronics,1,373.12,0
18,Female,96.08,2,In-Store,Electronics,1,48.04,0
58,Female,476.06,1,Mobile App,Electronics,4,476.06,0
22,Male,716.88,1,Mobile App,Clothing,0,716.88,1
24,Female,1212.24,1,Phone,Beauty,3,1212.24,1
44,Male,78.73,2,Mobile App,Outerwear,4,39.365,0
23,Female,570.88,1,Online,Clothing,1,570.88,0
41,Male,165.25,1,Online,Clothing,4,165.25,0
63,Female,502.17,1,Mobile App,Accessories,4,502.17,0
26,Male,390.27,1,Online,Electronics,1,390.27,0
32,Female,604.24,1,Phone,Accessories,0,604.24,0
34,Female,526.92,4,Mobile App,Electronics,2,131.73,1
30,Male,1475.31,1,In-Store,Electronics,3,1475.31,1
18,Female,539.35,2,Online,Clothing,1,269.675,0
47,Female,312.39,1,In-Store,Footwear,4,312.39,0
18,Female,236.97,2,Phone,Footwear,1,118.485,0
27,Male,862.44,2,In-Store,Electronics,0,431.22,1
34,Female,167.01,1,Online,Clothing,1,167.01,0
29,Male,657.66,3,Phone,Accessories,2,219.22,1
40,Male,667.22,1,Online,Electronics,0,667.22,1
18,Male,245.34,3,Mobile App,Electronics,2,81.78,0
39,Female,1386.88,1,Online,Footwear,3,1386.88,1
18,Male,214.72,5,Online,Electronics,2,42.944,0
36,Male,486.66,3,Mobile App,Beauty,2,162.22,0
30,Female,394.67,4,Mobile App,Footwear,2,98.6675,0
38,Male,206.31,2,Mobile App,Clothing,4,103.155,0
27,Female,439.65,1,In-Store,Media,1,439.65,0
18,Male,726.48,3,Mobile App,Accessories,2,242.16,1
40,Female,997.47,3,Mobile App,Media,0,332.49,1
29,Female,301.43,4,Phone,Accessories,2,75.3575,0
55,Male,231.15,1,Online,Media,4,231.15,0
33,Male,197.12,3,Online,Electronics,2,65.70666666666666,0
38,Female,354.93,1,Mobile App,Clothing,4,354.93,0
20,Female,261.74,2,Online,Accessories,1,130.87,0
18,Male,476.42,1,Online,Clothing,1,476.42,0
39,Male,361.37,1,Mobile App,Accessories,4,361.37,0
37,Male,654.44,4,Online,Electronics,2,163.61,1
52,Female,319.25,1,Mobile App,Clothing,4,319.25,0
26,Female,1269.11,2,Online,Accessories,0,634.555,1
31,Male,450.91,2,Mobile App,Electronics,1,225.455,0
49,Female,591.0,1,In-Store,Accessories,0,591.0,0
43,Male,380.69,1,Online,Electronics,4,380.69,0
34,Male,788.61,2,In-Store,Electronics,0,394.305,1
43,Female,60.86,1,Phone,Accessories,4,60.86,0
33,Female,625.92,3,In-Store,Media,2,208.64,1
50,Male,173.43,5,Phone,Accessories,2,34.686,0
33,Female,662.14,1,Phone,Electronics,0,662.14,1
35,Female,273.03,1,In-Store,Electronics,1,273.03,0
26,Male,436.61,1,Phone,Electronics,1,436.61,0
40,Male,132.83,2,Mobile App,Media,4,66.415,0
40,Male,62.43,1,Online,Accessories,4,62.43,0
31,Male,334.7,1,In-Store,Beauty,1,334.7,0
39,Female,465.57,2,In-Store,Electronics,4,232.785,0
24,Male,290.31,4,Online,Accessories,2,72.5775,0
47,Female,1295.36,1,In-Store,Accessories,3,1295.36,1
30,Female,219.86,1,Mobile App,Beauty,1,219.86,0
33,Male,653.37,4,Mobile App,Electronics,2,163.3425,1
36,Male,312.5,2,In-Store,Accessories,4,156.25,0
35,Male,266.62,2,In-Store,Electronics,4,133.31,0
26,Female,803.13,2,Mobile App,Accessories,0,401.565,1
18,Male,877.44,5,Online,Electronics,2,175.488,1
18,Male,386.32,2,Online,Accessories,1,193.16,0
40,Female,389.4,3,Phone,Outerwear,2,129.79999999999998,0
27,Male,451.53,2,Phone,Accessories,1,225.765,0
40,Female,685.83,2,In-Store,Electronics,0,342.915,1
42,Male,274.66,1,Mobile App,Outerwear,4,274.66,0
33,Male,197.27,1,In-Store,Electronics,1,197.27,0
43,Female,220.63,3,In-Store,Clothing,2,73.54333333333334,0
18,Female,238.52,1,Online,Accessories,1,238.52,0
43,Female,50.0,2,Online,Accessories,4,25.0,0
50,Male,572.78,1,Phone,Accessories,0,572.78,0
32,Male,377.35,3,Online,Clothing,2,125.78333333333335,0
21,Male,59.15,1,In-Store,Electronics,1,59.15,0
53,Female,199.89,3,Mobile App,Bags,4,66.63,0
19,Male,542.1,2,Online,Accessories,1,271.05,0
31,Male,695.47,1,Phone,Media,0,695.47,1
18,Male,234.35,2,Phone,Beauty,1,117.175,0
41,Male,916.49,1,Online,Accessories,0,916.49,1
21,Female,316.65,1,Online,Accessories,1,316.65,0
51,Male,153.35,1,Mobile App,Beauty,4,153.35,0
45,Female,1386.4,1,Online,Accessories,3,1386.4,1
31,Female,63.13,5,In-Store,Outerwear,2,12.626000000000001,0
18,Female,50.0,1,Phone,Accessories,1,50.0,0
48,Female,536.31,2,Phone,Beauty,4,268.155,0
37,Female,589.74,1,In-Store,Accessories,0,589.74,0
52,Female,690.54,2,Phone,Clothing,4,345.27,1
23,Male,233.08,1,Phone,Footwear,1,233.08,0
42,Male,281.71,2,Online,Clothing,4,140.855,0
45,Female,552.47,2,In-Store,Electronics,4,276.235,0
45,Male,1323.98,2,In-Store,Accessories,0,661.99,1
43,Female,1243.31,1,In-Store,Outerwear,3,1243.31,1
46,Male,230.2,2,Mobile App,Outerwear,4,115.1,0
22,Male,687.35,1,Mobile App,Outerwear,0,687.35,1
25,Male,692.05,1,Online,Accessories,0,692.05,1
38,Female,186.47,1,Online,Accessories,4,186.47,0
31,Female,247.86,1,Online,Accessories,1,247.86,0
18,Male,272.13,1,Online,Outerwear,1,272.13,0
31,Female,134.01,2,Mobile App,Clothing,1,67.005,0
57,Female,278.32,1,In-Store,Accessories,4,278.32,0
24,Female,464.47,1,In-Store,Accessories,1,464.47,0
46,Female,252.69,1,Online,Accessories,4,252.69,0
35,Female,85.7,2,In-Store,Clothing,1,42.85,0
47,Male,160.14,2,Mobile App,Footwear,4,80.07,0
31,Male,416.98,1,In-Store,Electronics,1,416.98,0
18,Female,388.65,2,Phone,Accessories,1,194.325,0
36,Female,528.27,2,Online,Accessories,4,264.135,0
36,Male,738.23,1,Phone,Electronics,0,738.23,1
21,Male,257.28,2,In-Store,Accessories,1,128.64,0
35,Female,808.52,2,Online,Accessories,0,404.26,1
20,Female,139.93,2,In-Store,Accessories,1,69.965,0
30,Male,185.09,1,In-Store,Clothing,1,185.09,0
38,Male,694.93,1,Online,Accessories,0,694.93,1
43,Male,150.25,1,Online,Electronics,4,150.25,0
25,Male,766.63,2,In-Store,Media,1,383.315,1
36,Male,681.21,3,In-Store,Accessories,2,227.07000000000002,1
68,Male,50.0,1,In-Store,Accessories,4,50.0,0
45,Female,108.48,1,Online,Clothing,4,108.48,0
27,Female,199.73,3,Mobile App,Media,2,66.57666666666667,0
31,Female,351.35,3,Online,Accessories,2,117.11666666666667,0
38,Male,1073.23,3,Online,Electronics,0,357.74333333333334,1
39,Male,192.28,2,Online,Electronics,4,96.14,0
18,Male,134.68,3,Online,Accessories,2,44.89333333333334,0
48,Female,183.11,1,Online,Clothing,4,183.11,0
38,Male,802.14,1,Mobile App,Electronics,0,802.14,1
47,Male,500.91,1,Phone,Accessories,4,500.91,0
48,Female,140.86,2,Online,Outerwear,4,70.43,0
40,Male,300.6,1,Online,Accessories,4,300.6,0
18,Female,274.16,1,Online,Bags,1,274.16,0
39,Male,1785.41,1,In-Store,Accessories,3,1785.41,1
27,Male,480.92,1,Mobile App,Footwear,1,480.92,0
24,Male,680.53,3,Phone,Clothing,2,226.84333333333333,1
19,Male,383.47,1,In-Store,Footwear,1,383.47,0
27,Male,193.92,1,Mobile App,Accessories,1,193.92,0
22,Female,903.59,3,In-Store,Clothing,2,301.19666666666666,1
41,Female,243.27,1,Phone,Electronics,4,243.27,0
60,Female,789.63,2,Phone,Electronics,4,394.815,1
56,Female,350.37,3,In-Store,Outerwear,4,116.79,0
33,Female,166.24,4,Online,Footwear,2,41.56,0
49,Male,1022.99,3,Online,Electronics,0,340.99666666666667,1
28,Female,620.49,1,Mobile App,Accessories,0,620.49,1
33,Male,413.75,2,Phone,Clothing,1,206.875,0
23,Female,249.02,1,In-Store,Electronics,1,249.02,0
33,Male,107.74,1,In-Store,Bags,1,107.74,0
35,Male,157.61,1,Mobile App,Accessories,1,157.61,0
18,Female,250.95,1,Mobile App,Accessories,1,250.95,0
46,Female,267.41,3,In-Store,Clothing,4,89.13666666666667,0
58,Male,644.79,1,Phone,Clothing,0,644.79,1
41,Male,420.33,2,Mobile App,Accessories,4,210.165,0
20,Male,50.82,1,Mobile App,Media,1,50.82,0
52,Male,406.25,1,Mobile App,Clothing,4,406.25,0
23,Female,170.25,4,In-Store,Accessories,2,42.5625,0
43,Male,1682.76,1,In-Store,Accessories,3,1682.76,1
49,Male,69.65,2,Phone,Electronics,4,34.825,0
46,Female,219.57,1,Online,Accessories,4,219.57,0
35,Male,378.55,1,In-Store,Beauty,1,378.55,0
44,Female,396.83,1,Phone,Electronics,4,396.83,0
34,Female,246.59,3,Mobile App,Beauty,2,82.19666666666667,0
37,Male,529.55,1,Mobile App,Clothing,0,529.55,0
52,Male,458.7,1,Mobile App,Accessories,4,458.7,0
25,Female,499.83,1,Online,Electronics,1,499.83,0
41,Male,607.08,3,Online,Bags,2,202.36,1
25,Female,488.65,2,Phone,Electronics,1,244.325,0
18,Female,416.4,2,In-Store,Outerwear,1,208.2,0
40,Female,276.63,1,Phone,Accessories,4,276.63,0
30,Female,114.34,3,In-Store,Footwear,2,38.11333333333334,0
53,Female,920.25,3,Online,Bags,4,306.75,1
37,Female,352.27,3,Mobile App,Accessories,2,117.42333333333333,0
18,Male,423.58,3,Phone,Accessories,2,141.19333333333333,0
40,Female,877.37,2,Online,Media,0,438.685,1
28,Female,568.27,1,Online,Beauty,0,568.27,0
48,Female,1505.03,3,Online,Electronics,0,501.6766666666667,1
18,Male,515.53,4,Online,Accessories,2,128.8825,1
19,Female,449.8,1,Phone,Accessories,1,449.8,0
51,Male,757.57,1,Online,Accessories,0,757.57,1
43,Female,174.38,4,In-Store,Outerwear,2,43.595,0
20,Female,307.56,1,In-Store,Bags,1,307.56,0
29,Male,104.15,3,Online,Media,2,34.71666666666667,0
38,Male,50.0,1,Online,Accessories,4,50.0,0
48,Female,299.88,1,Phone,Accessories,4,299.88,0
26,Male,367.8,1,In-Store,Bags,1,367.8,0
55,Female,1730.73,1,In-Store,Accessories,3,1730.73,1
41,Male,454.64,1,Mobile App,Clothing,4,454.64,0
37,Female,136.77,1,Online,Outerwear,4,136.77,0
29,Male,740.81,2,Online,Bags,0,370.405,1
33,Female,389.46,5,Mobile App,Outerwear,2,77.892,0
18,Male,370.84,1,Online,Clothing,1,370.84,0
46,Female,50.0,2,Online,Accessories,4,25.0,0
21,Male,1122.22,2,In-Store,Accessories,0,561.11,1
30,Female,381.71,2,Online,Media,1,190.855,0
36,Female,658.17,2,Online,Electronics,0,329.085,1
23,Female,74.99,1,In-Store,Footwear,1,74.99,0
42,Male,789.98,1,In-Store,Clothing,0,789.98,1
44,Male,393.47,1,Phone,Accessories,4,393.47,0
24,Male,118.06,1,In-Store,Accessories,1,118.06,0
35,Female,486.03,2,Online,Beauty,4,243.015,0
18,Male,497.27,1,Online,Accessories,1,497.27,0
28,Female,233.22,3,Phone,Accessories,2,77.74,0
54,Male,706.95,4,In-Store,Electronics,2,176.7375,1
40,Male,441.45,5,Mobile App,Accessories,2,88.28999999999999,0
30,Male,856.29,4,Phone,Accessories,2,214.0725,1
18,Female,370.2,1,Online,Media,1,370.2,0
35,Female,190.02,2,Online,Footwear,4,95.01,0
54,Male,1324.42,1,Phone,Electronics,3,1324.42,1
20,Female,59.61,3,Phone,Electronics,2,19.87,0
22,Male,131.56,3,Mobile App,Electronics,2,43.85333333333333,0
38,Female,1570.76,3,Phone,Media,0,523.5866666666667,1
54,Female,982.67,1,Phone,Electronics,0,982.67,1
27,Male,799.9,3,Mobile App,Beauty,2,266.6333333333333,1
22,Female,595.94,1,In-Store,Beauty,1,595.94,0
44,Female,156.4,1,In-Store,Footwear,4,156.4,0
34,Male,1417.41,3,Phone,Beauty,0,472.47,1
18,Male,50.0,1,Online,Electronics,1,50.0,0
34,Male,431.56,5,Online,Electronics,2,86.312,0
30,Male,389.29,1,In-Store,Footwear,1,389.29,0
19,Male,606.79,3,In-Store,Accessories,2,202.26333333333332,1
60,Male,1146.97,1,Mobile App,Clothing,3,1146.97,1
35,Female,731.43,3,Online,Electronics,2,243.80999999999997,1
37,Female,304.34,3,Online,Clothing,2,101.44666666666666,0
50,Male,592.39,4,Mobile App,Bags,2,148.0975,1
44,Male,222.68,1,Mobile App,Accessories,4,222.68,0
27,Male,615.17,4,Mobile App,Accessories,2,153.7925,1
18,Male,997.0,1,Mobile App,Media,0,997.0,1
20,Male,82.3,1,In-Store,Accessories,1,82.3,0
36,Female,1095.2,1,Online,Electronics,3,1095.2,1
30,Male,1034.12,3,Mobile App,Electronics,2,344.70666666666665,1
49,Female,1698.24,1,Mobile App,Beauty,3,1698.24,1
18,Male,499.24,3,Mobile App,Electronics,2,166.41333333333333,0
37,Female,160.6,2,Online,Accessories,4,80.3,0
47,Male,350.35,1,Online,Clothing,4,350.35,0
40,Female,1317.24,4,Phone,Electronics,2,329.31,1
35,Male,702.05,1,Phone,Electronics,0,702.05,1
44,Female,275.42,3,Mobile App,Clothing,2,91.80666666666667,0
32,Female,473.47,1,Online,Beauty,1,473.47,0
44,Female,893.65,2,Online,Accessories,0,446.825,1
23,Male,272.06,1,In-Store,Clothing,1,272.06,0
41,Male,1248.87,1,Phone,Electronics,3,1248.87,1
18,Female,322.98,1,In-Store,Accessories,1,322.98,0
50,Male,800.15,1,Phone,Electronics,0,800.15,1
18,Female,178.3,1,Phone,Accessories,1,178.3,0
36,Male,409.68,1,Phone,Accessories,4,409.68,0
40,Male,533.99,1,Online,Electronics,0,533.99,0
18,Male,128.58,3,Phone,Bags,2,42.86000000000001,0
23,Male,384.78,2,Online,Electronics,1,192.39,0
46,Female,267.45,3,Mobile App,Electronics,2,89.14999999999999,0
44,Male,289.64,2,In-Store,Accessories,4,144.82,0
28,Male,523.91,2,In-Store,Footwear,1,261.955,0
36,Male,525.81,2,Online,Electronics,4,262.905,0
61,Male,556.39,1,In-Store,Clothing,4,556.39,0
30,Female,238.7,2,Online,Electronics,1,119.35,0
33,Male,557.75,1,In-Store,Accessories,0,557.75,0
43,Female,730.17,3,Mobile App,Accessories,2,243.39,1
44,Female,334.52,3,Online,Bags,2,111.50666666666666,0
47,Male,838.2,1,Online,Clothing,0,838.2,1
41,Male,360.8,3,In-Store,Accessories,2,120.26666666666667,0
35,Male,398.17,1,Phone,Beauty,1,398.17,0
30,Female,761.26,1,In-Store,Electronics,0,761.26,1
37,Male,903.11,1,Online,Outerwear,0,903.11,1
36,Male,1495.88,3,In-Store,Outerwear,0,498.6266666666667,1
50,Female,431.8,3,Online,Accessories,4,143.93333333333334,0
27,Female,477.19,3,Online,Accessories,2,159.06333333333333,0
49,Male,993.44,1,Phone,Clothing,0,993.44,1
39,Female,726.01,2,Phone,Footwear,0,363.005,1
46,Male,392.35,2,Phone,Electronics,4,196.175,0
35,Female,417.39,1,In-Store,Clothing,1,417.39,0
24,Female,173.96,2,Mobile App,Outerwear,1,86.98,0
46,Female,229.76,1,Online,Accessories,4,229.76,0
