Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
43,Online,2023-08-25,2023-09-18,658,55742,1670,165
44,Facebook,2023-05-08,2023-06-09,1742,193718,7988,1921
45,Billboard,2023-01-02,2023-01-17,1713,43436,58,13
46,Online,2023-10-09,2023-11-17,1232,116637,3299,171
47,Facebook,2023-04-29,2023-05-18,1003,132749,5002,1077
48,Email,2023-02-12,2023-02-19,518,97884,4107,865
49,In-Store,2023-09-03,2023-09-29,1192,55657,4253,397
50,Radio,2023-03-04,2023-03-12,1167,102113,297,68
51,In-Store,2023-03-19,2023-04-29,1000,35030,3152,389
52,Facebook,2023-09-04,2023-10-17,1434,150025,3243,686
53,Facebook,2023-08-21,2023-09-03,1259,191752,3344,492
54,Online,2023-04-09,2023-04-18,1007,97107,3258,200
55,Facebook,2023-06-05,2023-06-16,515,60352,2594,327
56,Radio,2023-02-17,2023-03-21,1537,124970,336,59
57,Instagram,2023-06-14,2023-07-04,789,84992,3598,262
58,Instagram,2023-08-21,2023-09-22,1236,134045,6258,1386
59,Online,2023-07-18,2023-08-11,759,70136,3384,613
60,Facebook,2023-08-21,2023-09-11,413,56676,1653,160
61,Email,2023-04-26,2023-05-14,370,76372,3895,840
62,YouTube,2023-06-20,2023-07-28,1481,159657,2683,552
63,TV,2023-10-05,2023-10-29,9347,473580,514,56
64,YouTube,2023-04-22,2023-05-06,779,83874,1487,329
65,TV,2023-03-25,2023-05-01,2421,118871,304,50
66,Radio,2023-10-24,2023-11-19,2455,189609,445,31
67,YouTube,2023-10-22,2023-11-28,2006,166578,3163,341
68,Radio,2023-08-03,2023-08-31,2389,164352,607,85
69,Social,2023-07-18,2023-08-30,630,69432,1627,388
70,Online,2023-04-15,2023-05-29,321,33497,929,173
71,Instagram,2023-06-28,2023-07-31,323,40402,1420,238
72,Facebook,2023-04-04,2023-05-07,388,44760,848,111
73,Instagram,2023-09-01,2023-09-10,1579,192276,7251,1001
74,YouTube,2023-08-13,2023-09-27,1934,171859,4320,393
75,Facebook,2023-07-28,2023-08-13,1020,117898,3425,297
76,YouTube,2023-02-05,2023-02-17,625,66292,1669,413
77,In-Store,2023-03-08,2023-04-19,1722,66660,4207,877
78,Billboard,2023-10-04,2023-10-21,2177,57517,48,8
79,Email,2023-01-27,2023-02-12,320,66989,5121,514
80,Billboard,2023-01-12,2023-02-13,4335,140889,76,16
81,Billboard,2023-10-17,2023-11-09,3898,104149,195,25
82,Radio,2023-03-08,2023-03-27,1896,147896,686,78
83,Social,2023-06-06,2023-06-18,479,57614,1213,234
84,Online,2023-01-17,2023-02-17,842,75908,3535,569
85,TV,2023-09-30,2023-11-06,8388,494402,737,54
86,Facebook,2023-09-24,2023-10-01,774,87206,2223,249
87,Social,2023-09-29,2023-10-06,863,93103,2430,490
88,TV,2023-03-09,2023-04-08,4728,264835,518,114
89,Billboard,2023-10-09,2023-11-18,3611,128288,168,9
90,Social,2023-01-22,2023-02-12,1408,199437,3833,382
91,In-Store,2023-09-04,2023-09-13,690,28940,2899,333
92,Billboard,2023-08-01,2023-08-21,4897,152308,207,15
93,YouTube,2023-10-17,2023-11-26,2382,185179,5131,766
94,In-Store,2023-05-09,2023-05-26,1134,46582,4928,417
95,In-Store,2023-08-31,2023-10-13,1303,48152,2794,144
96,Email,2023-04-04,2023-05-15,670,134351,7194,387
97,In-Store,2023-01-22,2023-02-09,1579,62848,4631,304
98,Online,2023-03-17,2023-04-03,1796,194205,8266,549
99,YouTube,2023-07-04,2023-07-30,1901,201688,2286,240
100,YouTube,2023-03-12,2023-03-23,627,64746,995,132
101,YouTube,2023-06-13,2023-06-21,800,67838,1228,228
102,YouTube,2023-05-10,2023-06-03,1099,111777,1631,316
103,Online,2023-09-04,2023-10-15,1870,175155,7364,1740
104,Email,2023-04-14,2023-04-21,686,162861,9019,1340
105,Email,2023-10-12,2023-11-01,507,102815,6396,865
106,In-Store,2023-05-13,2023-06-10,1412,67274,4086,314
107,YouTube,2023-02-08,2023-03-04,1801,162100,1944,343
108,Online,2023-02-18,2023-03-20,390,42468,1569,234
109,YouTube,2023-03-09,2023-03-17,928,78522,1682,99
110,Instagram,2023-03-21,2023-05-02,1782,213338,5344,509
111,Social,2023-10-17,2023-11-21,207,28132,826,181
112,YouTube,2023-10-27,2023-11-24,2470,192202,5418,643
113,Radio,2023-06-15,2023-06-29,816,63435,167,28
114,YouTube,2023-02-12,2023-03-09,1075,115078,3231,463
115,YouTube,2023-06-04,2023-06-18,1668,175024,2796,593
116,Email,2023-10-26,2023-11-28,262,49999,2364,155
117,Instagram,2023-05-02,2023-05-13,664,67207,2890,709
118,YouTube,2023-08-19,2023-09-10,2178,212350,4081,344
119,TV,2023-06-02,2023-06-21,7204,332207,750,88
120,TV,2023-08-25,2023-10-04,6058,262286,773,96
121,YouTube,2023-02-26,2023-03-26,2063,204436,5525,522
122,Instagram,2023-01-23,2023-02-09,1556,199626,4366,922
123,TV,2023-10-01,2023-10-09,7248,332948,528,87
124,Billboard,2023-01-26,2023-02-03,3953,97236,90,15
125,Billboard,2023-07-01,2023-08-07,1934,57506,39,8
126,Billboard,2023-07-15,2023-07-30,1515,43013,59,13
127,Email,2023-07-31,2023-09-14,336,55186,3753,726
128,TV,2023-01-31,2023-02-13,7560,352611,681,48
129,In-Store,2023-08-24,2023-09-11,873,33467,3808,387
130,Radio,2023-08-04,2023-09-16,552,50851,198,30
131,Social,2023-04-25,2023-05-15,875,109654,4345,454
132,TV,2023-03-25,2023-04-11,6712,340795,505,105
133,Radio,2023-08-02,2023-09-04,2471,220414,968,64
134,Radio,2023-05-08,2023-06-22,581,51865,129,26
135,Social,2023-06-04,2023-07-10,683,78769,1202,233
136,Social,2023-10-16,2023-10-24,1376,134601,5287,323
137,TV,2023-08-21,2023-09-23,2553,146269,334,36
138,YouTube,2023-09-15,2023-10-23,1421,145387,3505,398
139,Online,2023-05-26,2023-06-13,1613,145078,4644,689
140,Social,2023-02-01,2023-03-07,1107,156770,5531,572
141,Facebook,2023-04-26,2023-05-15,876,134649,4782,621
142,Online,2023-05-22,2023-06-18,734,80427,3229,720
143,Radio,2023-03-31,2023-05-09,2420,198086,528,74
144,Email,2023-09-19,2023-10-02,326,58582,4493,433
145,Radio,2023-05-08,2023-05-28,706,49268,132,14
146,Social,2023-03-20,2023-04-14,1174,165303,2568,421
147,Radio,2023-04-08,2023-05-14,1144,75228,202,11
148,In-Store,2023-07-24,2023-08-03,757,27234,1613,111
149,Online,2023-09-07,2023-09-19,1048,123547,3672,814
150,Online,2023-10-28,2023-11-21,1598,191610,4132,332
151,TV,2023-06-24,2023-07-26,4503,186532,408,33
152,Radio,2023-02-14,2023-03-01,1813,129524,570,32
153,YouTube,2023-09-22,2023-10-03,773,79156,2093,411
154,Radio,2023-01-11,2023-02-09,1414,123492,361,87
155,In-Store,2023-08-29,2023-09-12,1182,50911,5604,632
156,YouTube,2023-03-04,2023-04-05,2170,218543,2944,450
157,Social,2023-05-23,2023-06-25,703,68076,2355,174
158,Billboard,2023-03-10,2023-03-21,3749,120100,156,19
159,Billboard,2023-05-02,2023-05-29,1538,37082,61,8
160,In-Store,2023-06-10,2023-06-19,1092,37631,2709,440
161,Billboard,2023-09-14,2023-10-13,3734,118836,165,23
162,In-Store,2023-06-06,2023-06-25,1904,67501,7931,434
163,Instagram,2023-01-22,2023-03-07,377,34989,809,86
164,Billboard,2023-02-19,2023-03-01,4001,106420,76,16
165,Instagram,2023-09-14,2023-10-26,501,55946,1582,168
166,Billboard,2023-02-28,2023-03-31,4843,130358,167,21
167,Instagram,2023-08-31,2023-10-11,1802,186510,7665,1433
168,Billboard,2023-01-24,2023-02-22,3571,87211,120,14
169,Billboard,2023-10-13,2023-11-23,4107,106468,129,19
170,Online,2023-09-03,2023-09-19,1763,175473,7847,1528
171,Instagram,2023-02-27,2023-03-24,1216,115265,3195,294
172,Billboard,2023-05-25,2023-06-02,2909,87820,139,26
173,Online,2023-10-01,2023-10-22,401,44409,1692,406
174,Instagram,2023-10-27,2023-12-09,1060,98095,2963,727
175,Facebook,2023-10-08,2023-10-28,1093,139899,2431,309
176,TV,2023-10-16,2023-10-25,9731,473857,973,189
177,YouTube,2023-07-10,2023-07-21,1782,177243,4938,329
178,TV,2023-07-01,2023-08-04,2372,111535,247,30
179,Billboard,2023-04-17,2023-05-13,2019,70894,44,2
180,YouTube,2023-04-18,2023-06-01,1000,72585,772,92
181,Radio,2023-08-08,2023-09-05,1376,98641,336,48
182,Email,2023-01-10,2023-01-29,201,38246,2462,359
183,Facebook,2023-03-24,2023-04-26,470,57951,1821,336
184,Online,2023-02-22,2023-03-10,837,89217,2155,269
185,TV,2023-06-22,2023-07-19,2194,116641,349,38
186,Online,2023-09-17,2023-09-26,1663,170529,8109,1772
187,Facebook,2023-09-11,2023-10-13,1542,197112,6034,878
188,TV,2023-07-13,2023-07-26,5209,230712,324,67
189,TV,2023-05-08,2023-06-17,3800,210705,235,13
190,In-Store,2023-05-30,2023-06-20,1140,39350,2813,667
191,Online,2023-09-09,2023-10-03,517,50411,1867,452
192,Billboard,2023-06-10,2023-07-04,2692,88984,64,11
193,Email,2023-07-03,2023-07-16,634,132157,6459,510
194,Social,2023-08-20,2023-09-16,1494,172411,2604,196
195,Online,2023-03-08,2023-03-29,887,72342,2276,326
196,In-Store,2023-04-05,2023-05-05,661,28124,2427,478
197,TV,2023-02-22,2023-04-03,8970,471648,1200,181
198,Online,2023-06-22,2023-07-03,1145,110036,2344,371
199,In-Store,2023-04-03,2023-04-23,1686,57380,4986,542
200,TV,2023-09-06,2023-09-15,6781,346763,901,120
201,Radio,2023-03-13,2023-04-19,2101,175576,787,166
202,TV,2023-06-05,2023-07-01,3272,131849,174,42
203,Instagram,2023-03-18,2023-04-10,1399,156611,5593,1089
204,Email,2023-08-25,2023-09-16,573,95200,4602,438
205,In-Store,2023-02-26,2023-04-08,564,24323,1863,234
206,Facebook,2023-03-04,2023-03-27,498,67440,1514,249
207,Online,2023-07-16,2023-07-28,350,31691,1518,315
208,Instagram,2023-10-18,2023-11-01,508,62911,3282,568
209,Radio,2023-07-13,2023-08-27,1085,100284,419,55
210,Instagram,2023-04-19,2023-05-14,429,56039,1614,106
211,In-Store,2023-04-12,2023-04-23,1556,52372,6078,1518
212,Instagram,2023-02-23,2023-03-21,319,41389,1393,93
213,Email,2023-03-22,2023-04-18,751,127119,9367,1720
214,TV,2023-06-09,2023-07-14,2315,115857,211,34
215,TV,2023-01-25,2023-02-25,5712,239913,556,83
216,Instagram,2023-04-19,2023-04-30,344,33267,1014,214
217,Billboard,2023-05-20,2023-06-16,2940,74975,123,17
218,YouTube,2023-05-18,2023-05-28,2263,222052,2341,217
219,YouTube,2023-05-16,2023-06-08,2242,161723,4665,463
220,In-Store,2023-04-28,2023-05-30,1759,64419,4058,714
221,TV,2023-02-06,2023-02-13,8827,421102,609,82
222,YouTube,2023-06-29,2023-07-20,667,64900,1371,163
223,Billboard,2023-05-04,2023-05-16,3807,129583,80,19
224,Facebook,2023-07-27,2023-08-24,854,106890,1906,218
225,Billboard,2023-01-20,2023-02-20,4813,132181,78,10
226,Instagram,2023-07-24,2023-08-29,1527,154553,6561,1344
227,Facebook,2023-09-23,2023-11-06,806,105147,3207,460
228,Email,2023-07-27,2023-08-09,125,29882,2273,320
229,YouTube,2023-01-03,2023-01-14,2220,198704,5785,1286
230,YouTube,2023-06-10,2023-07-23,1669,155949,4082,870
231,Online,2023-08-16,2023-09-25,511,43141,2008,278
232,Facebook,2023-08-05,2023-08-15,324,38380,602,141
233,TV,2023-05-27,2023-06-21,2705,159314,417,48
234,Facebook,2023-08-05,2023-09-09,822,95210,2094,381
235,TV,2023-10-17,2023-11-19,7745,453178,792,65
236,Facebook,2023-02-25,2023-04-03,1642,173031,3691,357
237,Email,2023-01-01,2023-01-11,418,87518,6112,1019
238,Billboard,2023-07-26,2023-08-24,1878,61283,96,23
239,Facebook,2023-09-02,2023-10-08,732,80077,2292,555
240,TV,2023-08-07,2023-08-23,4236,212356,517,41
241,Email,2023-10-14,2023-11-12,638,121276,5636,1027
242,Facebook,2023-03-20,2023-04-26,1599,233818,7389,1350
243,TV,2023-02-10,2023-03-04,4240,218487,564,129
244,YouTube,2023-07-19,2023-08-23,536,46897,811,131
245,In-Store,2023-09-02,2023-09-23,1154,45467,2672,604
246,In-Store,2023-07-18,2023-08-02,1194,38676,3822,640
247,Facebook,2023-04-07,2023-05-07,1786,210166,5058,463
248,Facebook,2023-10-01,2023-11-15,1167,122313,5279,963
249,Radio,2023-07-04,2023-08-11,520,47373,127,24
250,TV,2023-03-09,2023-04-15,7698,437235,523,82
251,Billboard,2023-07-23,2023-09-05,4952,127815,125,21
252,Online,2023-06-18,2023-06-26,1572,183855,5825,353
253,Online,2023-02-11,2023-02-25,1666,184640,3999,854
254,Billboard,2023-02-07,2023-03-12,1288,43989,52,8
255,TV,2023-09-21,2023-10-03,3141,185165,501,25
256,Instagram,2023-09-20,2023-10-05,1641,199556,8228,909
257,Billboard,2023-10-21,2023-10-31,4130,132840,255,59
258,Instagram,2023-07-27,2023-09-02,561,54221,3106,201
259,TV,2023-05-15,2023-06-24,3022,150724,418,102
260,Email,2023-07-31,2023-08-30,424,92419,3096,240
261,In-Store,2023-09-29,2023-11-10,778,35835,1844,170
262,In-Store,2023-09-27,2023-10-29,1088,36932,2840,504
263,Email,2023-01-15,2023-01-31,294,56764,3872,728
264,Billboard,2023-05-03,2023-06-06,3075,80784,151,25
265,In-Store,2023-07-31,2023-09-05,1389,50535,5486,435
266,Facebook,2023-02-04,2023-03-19,1753,203106,4141,491
267,Instagram,2023-03-18,2023-04-19,1948,210355,5062,638
268,Facebook,2023-05-04,2023-06-09,1444,169701,6851,1120
269,Social,2023-04-06,2023-05-03,578,80651,2045,207
270,TV,2023-09-24,2023-10-18,8226,487215,1268,252
271,Billboard,2023-10-05,2023-11-08,3077,78019,152,11
272,TV,2023-04-24,2023-05-15,2379,115433,121,23
273,Online,2023-06-14,2023-07-26,1323,131183,5933,673
274,Radio,2023-01-29,2023-03-01,1183,105239,378,89
275,Online,2023-03-29,2023-04-27,1481,124283,3052,587
276,TV,2023-07-19,2023-08-10,5833,252953,461,104
277,Billboard,2023-07-22,2023-07-30,1886,48562,47,5
278,Instagram,2023-01-04,2023-01-22,1574,160637,7440,1249
279,YouTube,2023-08-28,2023-09-18,2265,242187,6280,559
280,Radio,2023-09-08,2023-10-22,1793,158566,349,84
281,Social,2023-05-11,2023-06-15,751,96687,1627,237
282,Email,2023-07-20,2023-08-25,112,19877,1120,89
283,Radio,2023-07-21,2023-08-26,2265,152503,378,90
284,TV,2023-03-24,2023-04-13,3703,150388,154,9
285,Billboard,2023-05-08,2023-05-17,4043,143012,221,36
286,Social,2023-05-10,2023-06-21,485,58462,1203,278
287,Social,2023-02-26,2023-03-07,1166,150159,4210,381
288,Social,2023-08-14,2023-09-04,1074,153706,5235,566
289,Radio,2023-03-18,2023-04-05,510,40341,81,14
290,Online,2023-10-09,2023-11-03,582,59242,1635,301
291,Billboard,2023-03-24,2023-05-01,3511,113680,186,17
292,Billboard,2023-06-17,2023-06-28,1643,51748,82,9
293,In-Store,2023-01-10,2023-01-18,1244,57423,3001,218
294,TV,2023-10-03,2023-10-26,7816,332789,618,52
295,Online,2023-01-07,2023-01-27,1156,92976,3119,236
296,Radio,2023-01-20,2023-02-05,2666,190323,783,68
297,TV,2023-03-14,2023-04-07,3617,216713,360,32
298,In-Store,2023-08-11,2023-09-23,789,35971,3209,715
299,In-Store,2023-08-01,2023-09-02,952,32352,3520,728
300,Facebook,2023-07-17,2023-08-28,1215,172284,4163,415
301,Online,2023-05-11,2023-06-10,870,101263,2220,119
302,In-Store,2023-08-12,2023-09-13,1040,42935,2159,404
303,TV,2023-05-29,2023-06-26,6524,264544,438,79
304,YouTube,2023-07-28,2023-08-23,984,91397,1668,314
305,Instagram,2023-01-02,2023-02-15,565,57071,1413,72
306,Online,2023-07-28,2023-09-09,1744,168519,7065,1445
307,In-Store,2023-06-18,2023-07-05,1950,72740,4450,440
308,Social,2023-03-10,2023-04-21,298,33247,1194,105
309,YouTube,2023-08-16,2023-09-11,1362,115217,1776,109
310,TV,2023-09-12,2023-10-14,3428,201458,502,93
311,Facebook,2023-07-06,2023-07-15,468,50787,2155,442
312,Radio,2023-06-13,2023-07-22,2283,207100,701,133
313,Instagram,2023-10-03,2023-10-21,1123,100819,2348,326
314,Instagram,2023-10-28,2023-11-05,787,69944,3940,479
315,Instagram,2023-09-17,2023-09-24,1747,212096,8236,1790
316,Billboard,2023-02-04,2023-03-02,4386,152690,117,29
317,Email,2023-07-08,2023-08-05,402,85569,4126,931
318,Online,2023-06-16,2023-07-15,1454,139977,4148,618
319,Facebook,2023-02-15,2023-02-28,1643,186965,5324,897
320,Instagram,2023-04-25,2023-05-03,1751,177621,5906,781
321,Social,2023-08-15,2023-09-07,865,114888,3684,248
322,Billboard,2023-01-01,2023-02-12,3334,119180,211,51
323,Facebook,2023-08-26,2023-09-04,1799,197295,5022,1183
324,Social,2023-04-03,2023-04-17,620,65514,2144,362
325,Billboard,2023-02-01,2023-02-08,4749,143268,130,17
326,In-Store,2023-03-08,2023-04-16,1801,74280,6398,1109
327,Email,2023-01-04,2023-02-11,387,74007,2611,191
328,Email,2023-10-20,2023-12-04,754,149543,11095,2431
329,Social,2023-08-27,2023-09-09,1497,208839,4846,624
330,Online,2023-04-23,2023-05-13,1366,146258,6207,1405
331,Radio,2023-03-16,2023-04-24,1997,174705,854,138
332,Facebook,2023-09-20,2023-10-22,1299,179134,5621,1143
333,Email,2023-10-22,2023-11-27,505,108945,3546,822
334,Facebook,2023-01-05,2023-01-12,1213,141114,4603,796
335,Facebook,2023-06-02,2023-06-26,890,113967,4788,870
336,TV,2023-05-22,2023-06-05,8963,531149,1011,168
337,Social,2023-08-07,2023-08-22,989,125337,4782,511
338,Email,2023-06-02,2023-07-07,463,110879,3931,503
339,TV,2023-05-08,2023-06-05,6749,358001,727,170
340,Instagram,2023-06-18,2023-07-31,1817,164228,8621,1644
341,Facebook,2023-08-08,2023-09-07,1286,190924,5443,1095
342,YouTube,2023-06-18,2023-07-21,695,59507,1221,304
343,Email,2023-06-06,2023-06-15,600,136368,8819,541
344,YouTube,2023-02-20,2023-03-28,2307,245609,2917,683
345,Email,2023-06-11,2023-06-19,757,159055,8683,1362
346,Billboard,2023-10-26,2023-11-12,1608,42272,66,9
347,TV,2023-01-07,2023-01-29,9407,411855,890,152
348,Social,2023-10-11,2023-11-08,288,37712,777,157
349,Social,2023-07-21,2023-08-17,600,62168,1302,245
350,Radio,2023-03-02,2023-03-27,2345,161776,611,37
351,Social,2023-03-07,2023-03-29,748,89116,1503,202
352,Facebook,2023-06-18,2023-06-27,1448,168890,4341,536
353,YouTube,2023-01-22,2023-02-07,550,40410,495,49
354,Email,2023-08-03,2023-08-29,371,87170,6071,987
355,YouTube,2023-07-20,2023-08-03,1055,80053,1703,400
356,Facebook,2023-02-17,2023-03-05,1228,170942,6440,340
357,Billboard,2023-06-16,2023-06-24,2792,91631,60,4
358,Social,2023-10-05,2023-10-27,1494,145318,3582,382
359,Instagram,2023-06-30,2023-07-22,1674,147633,4468,553
360,Radio,2023-10-25,2023-11-22,709,48236,155,29
361,Billboard,2023-01-04,2023-02-11,3041,90766,118,24
362,TV,2023-04-21,2023-05-12,7293,311688,567,140
363,Facebook,2023-02-01,2023-02-24,1639,240639,3864,594
364,Email,2023-07-24,2023-09-05,486,105787,8373,1817
365,Billboard,2023-10-16,2023-10-24,1752,61956,48,2
366,YouTube,2023-07-11,2023-08-08,495,42775,819,140
367,Billboard,2023-08-25,2023-09-02,4758,155375,300,55
368,Social,2023-01-20,2023-01-30,624,77396,1564,174
369,Online,2023-08-23,2023-09-26,1527,151211,3766,274
370,Social,2023-02-07,2023-03-21,596,76837,2602,555
371,Facebook,2023-02-07,2023-03-24,572,76679,2019,362
372,Social,2023-02-27,2023-03-06,890,95023,2566,210
373,Billboard,2023-01-22,2023-02-01,4677,143633,262,39
374,YouTube,2023-08-16,2023-09-09,1144,101066,1120,120
375,Instagram,2023-06-15,2023-07-23,1805,201843,11215,2331
376,Instagram,2023-03-16,2023-03-26,1119,107999,2845,517
377,Online,2023-02-10,2023-02-27,1163,138445,5067,1166
378,TV,2023-08-01,2023-09-03,4995,250076,412,81
379,TV,2023-09-09,2023-10-12,2107,119873,219,41
380,Online,2023-08-07,2023-08-30,1201,103556,4020,938
381,Radio,2023-04-01,2023-05-01,2388,169453,618,116
382,YouTube,2023-09-11,2023-10-23,1468,106440,1072,203
383,Facebook,2023-05-20,2023-06-22,901,116125,3337,745
384,Billboard,2023-02-14,2023-03-02,4706,147664,184,25
385,Social,2023-10-07,2023-11-02,517,59530,984,167
386,Instagram,2023-03-17,2023-04-18,1707,204260,9865,1984
387,TV,2023-03-03,2023-04-07,2219,88818,123,18
388,Instagram,2023-08-06,2023-08-15,985,103460,5037,798
389,Online,2023-04-14,2023-04-25,1713,194550,7633,958
390,YouTube,2023-10-23,2023-11-22,662,51104,1106,97
391,In-Store,2023-03-31,2023-04-23,773,31620,2379,586
392,TV,2023-02-12,2023-03-16,8486,342495,737,49
393,Facebook,2023-10-12,2023-11-04,1389,145880,4113,971
394,In-Store,2023-08-30,2023-09-06,1917,77122,7764,1009
395,In-Store,2023-07-07,2023-07-24,580,23010,2195,427
396,Online,2023-08-30,2023-09-24,419,38296,1024,250
397,Facebook,2023-07-10,2023-08-14,1472,182121,6553,1177
398,TV,2023-07-31,2023-08-12,7486,307481,906,61
399,Facebook,2023-01-01,2023-01-11,1635,209912,8282,1236
400,Radio,2023-01-15,2023-02-02,548,41599,101,18
401,Facebook,2023-08-31,2023-09-17,1655,237749,8036,1532
402,Facebook,2023-03-31,2023-04-09,417,43627,1537,267
403,YouTube,2023-07-06,2023-08-20,2338,190979,3669,691
404,Radio,2023-04-28,2023-06-12,2229,165573,761,188
405,TV,2023-05-11,2023-05-28,4838,208164,484,90
406,TV,2023-03-26,2023-04-05,4304,179337,281,33
407,Email,2023-08-14,2023-09-08,140,32940,2284,502
408,In-Store,2023-04-07,2023-04-29,1439,67631,8036,1635
409,YouTube,2023-08-05,2023-09-06,2232,191183,2352,435
410,Billboard,2023-01-03,2023-02-12,2311,64990,107,22
411,YouTube,2023-06-04,2023-07-19,590,59470,1214,210
412,Billboard,2023-09-22,2023-10-31,1322,36091,49,2
413,Online,2023-04-19,2023-05-17,1330,127720,3639,214
414,Radio,2023-08-16,2023-09-08,1587,118362,437,72
415,Billboard,2023-04-18,2023-05-06,2058,58625,50,3
416,YouTube,2023-02-25,2023-03-10,877,66002,1930,448
417,Instagram,2023-07-10,2023-07-21,1394,138023,6500,1491
418,Facebook,2023-10-11,2023-11-07,1471,169993,3396,334
419,Facebook,2023-07-30,2023-08-13,1274,176617,2926,531
420,Email,2023-05-21,2023-07-01,108,24862,795,64
421,Billboard,2023-05-16,2023-06-01,2417,75880,145,26
422,Social,2023-01-05,2023-02-02,879,96894,3454,740
423,Instagram,2023-09-05,2023-10-17,508,60758,1557,97
424,TV,2023-08-29,2023-09-21,6987,381328,594,65
425,Online,2023-05-31,2023-06-18,1495,134424,4526,320
426,Instagram,2023-05-10,2023-06-16,1926,244027,5667,770
427,YouTube,2023-04-04,2023-05-12,1776,162099,4242,504
428,Social,2023-04-03,2023-05-07,1113,153020,5504,957
429,Instagram,2023-09-23,2023-10-29,1507,198469,8135,1937
430,Radio,2023-05-31,2023-06-24,1849,148672,691,139
431,In-Store,2023-05-01,2023-05-25,508,17195,1594,396
432,Facebook,2023-04-20,2023-05-23,256,35825,1571,215
433,YouTube,2023-06-20,2023-07-01,1255,101707,2839,434
434,Online,2023-02-26,2023-03-14,870,98883,3543,735
435,YouTube,2023-05-05,2023-06-08,1831,158667,4509,288
436,Radio,2023-07-29,2023-09-09,2146,146690,351,82
437,Online,2023-08-27,2023-09-04,1646,159259,6115,939
438,Radio,2023-04-29,2023-05-12,2051,133569,550,76
439,TV,2023-05-04,2023-05-26,2433,107693,202,37
440,YouTube,2023-02-04,2023-03-17,2095,198787,2631,288
441,Radio,2023-08-03,2023-08-22,756,67732,156,27
442,Email,2023-10-06,2023-10-13,603,122748,4824,1113
443,Instagram,2023-01-25,2023-02-26,1152,105308,5041,553
444,Facebook,2023-09-19,2023-10-17,1301,162455,3565,486
445,TV,2023-02-10,2023-03-22,9619,390285,880,140
446,Instagram,2023-04-01,2023-04-29,585,53436,1434,261
447,Instagram,2023-07-15,2023-08-18,1496,134379,7661,1661
448,Facebook,2023-05-20,2023-06-20,1456,221256,7339,1484
449,Social,2023-10-02,2023-11-10,520,74718,2691,667
450,YouTube,2023-01-19,2023-02-16,1031,75882,879,82
451,Social,2023-10-04,2023-11-15,1142,114629,3821,851
452,Email,2023-03-23,2023-03-31,312,71571,5527,854
453,TV,2023-03-06,2023-04-10,9614,552362,1083,138
454,Billboard,2023-10-05,2023-11-02,1762,52251,67,13
455,Online,2023-05-05,2023-05-21,312,31272,1481,206
